INDUSTRIA,DESCRIPCIÓN DE INDUSTRIA,TEMA,PARÁMETRO DE CONTABILIDAD,CATEGORÍA,UNIDAD DE MEDIDA,CÓDIGO
Compañías y distribuidores de gas,"El sector de compañías y distribuidores de gas se compone de empresas de distribución y comercialización de gas. La distribución de gas implica la utilización de tuberías locales de baja presión para transferir el gas natural de las tuberías de transmisión más grandes a los usuarios finales. Las empresas comercializadoras de gas son agentes que incorporan el gas natural en cantidades ajustadas a las necesidades de sus diferentes clientes y luego lo suministran, generalmente a través de las líneas de transmisión y distribución de otras empresas. Por su parte, la distribución de gas propano implica a una porción relativamente más pequeña de este sector, motivo por el cual esta norma se centra en la distribución de gas natural. Ambos tipos de gas suelen utilizarse para la calefacción y las cocinas de clientes residenciales, comerciales e industriales. En los mercados regulados de forma estructural, se concede a las empresas de suministros un monopolio total sobre la distribución y venta del gas natural. Una autoridad reguladora debe aprobar las tarifas que las empresas de suministros cobran para evitar que abusen de su posición de monopolio. En los mercados desregulados, la distribución y la comercialización están diferenciadas a nivel regulatorio y los clientes pueden elegir a qué empresa comprar el gas. En este caso, la empresa de suministros tiene garantizado el monopolio únicamente sobre la distribución, y está obligada por ley a difundir todo el gas de manera equitativa a lo largo de sus tuberías con una tarifa fija. En general, las empresas del sector deben encargarse de proporcionar gas seguro, fiable y de bajo coste y, a un mismo tiempo, gestionar eficazmente sus efectos sociales y ambientales, como la seguridad de la comunidad y las emisiones de metano. Less",Eficiencia del uso final,Porcentaje de los ingresos de los servicios de gas provenientes de estructuras tarifarias que (1) están disociadas o (2) contienen un mecanismo de ajuste de pérdida de ingresos (LRAM),Cuantitativo,Porcentaje (%),IF-GU-420a.1
Compañías y distribuidores de gas,"El sector de compañías y distribuidores de gas se compone de empresas de distribución y comercialización de gas. La distribución de gas implica la utilización de tuberías locales de baja presión para transferir el gas natural de las tuberías de transmisión más grandes a los usuarios finales. Las empresas comercializadoras de gas son agentes que incorporan el gas natural en cantidades ajustadas a las necesidades de sus diferentes clientes y luego lo suministran, generalmente a través de las líneas de transmisión y distribución de otras empresas. Por su parte, la distribución de gas propano implica a una porción relativamente más pequeña de este sector, motivo por el cual esta norma se centra en la distribución de gas natural. Ambos tipos de gas suelen utilizarse para la calefacción y las cocinas de clientes residenciales, comerciales e industriales. En los mercados regulados de forma estructural, se concede a las empresas de suministros un monopolio total sobre la distribución y venta del gas natural. Una autoridad reguladora debe aprobar las tarifas que las empresas de suministros cobran para evitar que abusen de su posición de monopolio. En los mercados desregulados, la distribución y la comercialización están diferenciadas a nivel regulatorio y los clientes pueden elegir a qué empresa comprar el gas. En este caso, la empresa de suministros tiene garantizado el monopolio únicamente sobre la distribución, y está obligada por ley a difundir todo el gas de manera equitativa a lo largo de sus tuberías con una tarifa fija. En general, las empresas del sector deben encargarse de proporcionar gas seguro, fiable y de bajo coste y, a un mismo tiempo, gestionar eficazmente sus efectos sociales y ambientales, como la seguridad de la comunidad y las emisiones de metano. Less",Eficiencia del uso final,"Ahorro en gas por parte de los clientes gracias a las medidas de eficiencia, por mercado³",Cuantitativo,Millones de unidades térmicas británicas (MMBtu),IF-GU-420a.2
Compañías y distribuidores de gas,"El sector de compañías y distribuidores de gas se compone de empresas de distribución y comercialización de gas. La distribución de gas implica la utilización de tuberías locales de baja presión para transferir el gas natural de las tuberías de transmisión más grandes a los usuarios finales. Las empresas comercializadoras de gas son agentes que incorporan el gas natural en cantidades ajustadas a las necesidades de sus diferentes clientes y luego lo suministran, generalmente a través de las líneas de transmisión y distribución de otras empresas. Por su parte, la distribución de gas propano implica a una porción relativamente más pequeña de este sector, motivo por el cual esta norma se centra en la distribución de gas natural. Ambos tipos de gas suelen utilizarse para la calefacción y las cocinas de clientes residenciales, comerciales e industriales. En los mercados regulados de forma estructural, se concede a las empresas de suministros un monopolio total sobre la distribución y venta del gas natural. Una autoridad reguladora debe aprobar las tarifas que las empresas de suministros cobran para evitar que abusen de su posición de monopolio. En los mercados desregulados, la distribución y la comercialización están diferenciadas a nivel regulatorio y los clientes pueden elegir a qué empresa comprar el gas. En este caso, la empresa de suministros tiene garantizado el monopolio únicamente sobre la distribución, y está obligada por ley a difundir todo el gas de manera equitativa a lo largo de sus tuberías con una tarifa fija. En general, las empresas del sector deben encargarse de proporcionar gas seguro, fiable y de bajo coste y, a un mismo tiempo, gestionar eficazmente sus efectos sociales y ambientales, como la seguridad de la comunidad y las emisiones de metano. Less",Integridad de las infraestructuras de suministro de gas,"Número de (1) incidentes a reportar en gasoductos, (2) órdenes de acciones correctivas (CAO), y (3) avisos de posibles infracciones (NOPV)⁴",Cuantitativo,Número,IF-GU-540a.1
Compañías y distribuidores de gas,"El sector de compañías y distribuidores de gas se compone de empresas de distribución y comercialización de gas. La distribución de gas implica la utilización de tuberías locales de baja presión para transferir el gas natural de las tuberías de transmisión más grandes a los usuarios finales. Las empresas comercializadoras de gas son agentes que incorporan el gas natural en cantidades ajustadas a las necesidades de sus diferentes clientes y luego lo suministran, generalmente a través de las líneas de transmisión y distribución de otras empresas. Por su parte, la distribución de gas propano implica a una porción relativamente más pequeña de este sector, motivo por el cual esta norma se centra en la distribución de gas natural. Ambos tipos de gas suelen utilizarse para la calefacción y las cocinas de clientes residenciales, comerciales e industriales. En los mercados regulados de forma estructural, se concede a las empresas de suministros un monopolio total sobre la distribución y venta del gas natural. Una autoridad reguladora debe aprobar las tarifas que las empresas de suministros cobran para evitar que abusen de su posición de monopolio. En los mercados desregulados, la distribución y la comercialización están diferenciadas a nivel regulatorio y los clientes pueden elegir a qué empresa comprar el gas. En este caso, la empresa de suministros tiene garantizado el monopolio únicamente sobre la distribución, y está obligada por ley a difundir todo el gas de manera equitativa a lo largo de sus tuberías con una tarifa fija. En general, las empresas del sector deben encargarse de proporcionar gas seguro, fiable y de bajo coste y, a un mismo tiempo, gestionar eficazmente sus efectos sociales y ambientales, como la seguridad de la comunidad y las emisiones de metano. Less",Integridad de las infraestructuras de suministro de gas,Porcentaje de las tuberías de distribución que son (1) de hierro fundido o pudelado y (2) de acero no protegido,Cuantitativo,Porcentaje (%) por longitud,IF-GU-540a.2
Compañías y distribuidores de gas,"El sector de compañías y distribuidores de gas se compone de empresas de distribución y comercialización de gas. La distribución de gas implica la utilización de tuberías locales de baja presión para transferir el gas natural de las tuberías de transmisión más grandes a los usuarios finales. Las empresas comercializadoras de gas son agentes que incorporan el gas natural en cantidades ajustadas a las necesidades de sus diferentes clientes y luego lo suministran, generalmente a través de las líneas de transmisión y distribución de otras empresas. Por su parte, la distribución de gas propano implica a una porción relativamente más pequeña de este sector, motivo por el cual esta norma se centra en la distribución de gas natural. Ambos tipos de gas suelen utilizarse para la calefacción y las cocinas de clientes residenciales, comerciales e industriales. En los mercados regulados de forma estructural, se concede a las empresas de suministros un monopolio total sobre la distribución y venta del gas natural. Una autoridad reguladora debe aprobar las tarifas que las empresas de suministros cobran para evitar que abusen de su posición de monopolio. En los mercados desregulados, la distribución y la comercialización están diferenciadas a nivel regulatorio y los clientes pueden elegir a qué empresa comprar el gas. En este caso, la empresa de suministros tiene garantizado el monopolio únicamente sobre la distribución, y está obligada por ley a difundir todo el gas de manera equitativa a lo largo de sus tuberías con una tarifa fija. En general, las empresas del sector deben encargarse de proporcionar gas seguro, fiable y de bajo coste y, a un mismo tiempo, gestionar eficazmente sus efectos sociales y ambientales, como la seguridad de la comunidad y las emisiones de metano. Less",Integridad de las infraestructuras de suministro de gas,Porcentaje de (1) tuberías de transmisión y (2) de distribución de gas inspeccionadas,Cuantitativo,Porcentaje (%) por longitud,IF-GU-540a.3
Compañías y distribuidores de gas,"El sector de compañías y distribuidores de gas se compone de empresas de distribución y comercialización de gas. La distribución de gas implica la utilización de tuberías locales de baja presión para transferir el gas natural de las tuberías de transmisión más grandes a los usuarios finales. Las empresas comercializadoras de gas son agentes que incorporan el gas natural en cantidades ajustadas a las necesidades de sus diferentes clientes y luego lo suministran, generalmente a través de las líneas de transmisión y distribución de otras empresas. Por su parte, la distribución de gas propano implica a una porción relativamente más pequeña de este sector, motivo por el cual esta norma se centra en la distribución de gas natural. Ambos tipos de gas suelen utilizarse para la calefacción y las cocinas de clientes residenciales, comerciales e industriales. En los mercados regulados de forma estructural, se concede a las empresas de suministros un monopolio total sobre la distribución y venta del gas natural. Una autoridad reguladora debe aprobar las tarifas que las empresas de suministros cobran para evitar que abusen de su posición de monopolio. En los mercados desregulados, la distribución y la comercialización están diferenciadas a nivel regulatorio y los clientes pueden elegir a qué empresa comprar el gas. En este caso, la empresa de suministros tiene garantizado el monopolio únicamente sobre la distribución, y está obligada por ley a difundir todo el gas de manera equitativa a lo largo de sus tuberías con una tarifa fija. En general, las empresas del sector deben encargarse de proporcionar gas seguro, fiable y de bajo coste y, a un mismo tiempo, gestionar eficazmente sus efectos sociales y ambientales, como la seguridad de la comunidad y las emisiones de metano. Less",Integridad de las infraestructuras de suministro de gas	,"Descripción de los esfuerzos para gestionar la integridad de la infraestructura de suministro de gas, incluidos los riesgos relacionados con la seguridad y las emisiones	",Debate y análisis	,n/a	,IF-GU-540a.4
Compañías y distribuidores de gas,"El sector de compañías y distribuidores de gas se compone de empresas de distribución y comercialización de gas. La distribución de gas implica la utilización de tuberías locales de baja presión para transferir el gas natural de las tuberías de transmisión más grandes a los usuarios finales. Las empresas comercializadoras de gas son agentes que incorporan el gas natural en cantidades ajustadas a las necesidades de sus diferentes clientes y luego lo suministran, generalmente a través de las líneas de transmisión y distribución de otras empresas. Por su parte, la distribución de gas propano implica a una porción relativamente más pequeña de este sector, motivo por el cual esta norma se centra en la distribución de gas natural. Ambos tipos de gas suelen utilizarse para la calefacción y las cocinas de clientes residenciales, comerciales e industriales. En los mercados regulados de forma estructural, se concede a las empresas de suministros un monopolio total sobre la distribución y venta del gas natural. Una autoridad reguladora debe aprobar las tarifas que las empresas de suministros cobran para evitar que abusen de su posición de monopolio. En los mercados desregulados, la distribución y la comercialización están diferenciadas a nivel regulatorio y los clientes pueden elegir a qué empresa comprar el gas. En este caso, la empresa de suministros tiene garantizado el monopolio únicamente sobre la distribución, y está obligada por ley a difundir todo el gas de manera equitativa a lo largo de sus tuberías con una tarifa fija. En general, las empresas del sector deben encargarse de proporcionar gas seguro, fiable y de bajo coste y, a un mismo tiempo, gestionar eficazmente sus efectos sociales y ambientales, como la seguridad de la comunidad y las emisiones de metano. Less","Número de: clientes (1) residenciales, (2) comerciales e (3) industriales atendidos⁵","Número de: clientes (1) residenciales, (2) comerciales e (3) industriales atendidos⁵",Cuantitativo,Número,IF-GU-000.A
Compañías y distribuidores de gas,"El sector de compañías y distribuidores de gas se compone de empresas de distribución y comercialización de gas. La distribución de gas implica la utilización de tuberías locales de baja presión para transferir el gas natural de las tuberías de transmisión más grandes a los usuarios finales. Las empresas comercializadoras de gas son agentes que incorporan el gas natural en cantidades ajustadas a las necesidades de sus diferentes clientes y luego lo suministran, generalmente a través de las líneas de transmisión y distribución de otras empresas. Por su parte, la distribución de gas propano implica a una porción relativamente más pequeña de este sector, motivo por el cual esta norma se centra en la distribución de gas natural. Ambos tipos de gas suelen utilizarse para la calefacción y las cocinas de clientes residenciales, comerciales e industriales. En los mercados regulados de forma estructural, se concede a las empresas de suministros un monopolio total sobre la distribución y venta del gas natural. Una autoridad reguladora debe aprobar las tarifas que las empresas de suministros cobran para evitar que abusen de su posición de monopolio. En los mercados desregulados, la distribución y la comercialización están diferenciadas a nivel regulatorio y los clientes pueden elegir a qué empresa comprar el gas. En este caso, la empresa de suministros tiene garantizado el monopolio únicamente sobre la distribución, y está obligada por ley a difundir todo el gas de manera equitativa a lo largo de sus tuberías con una tarifa fija. En general, las empresas del sector deben encargarse de proporcionar gas seguro, fiable y de bajo coste y, a un mismo tiempo, gestionar eficazmente sus efectos sociales y ambientales, como la seguridad de la comunidad y las emisiones de metano. Less","Cantidad de gas natural suministrado a: (1) clientes residenciales, (2) clientes comerciales, (3) clientes industriales y (4) transferido a un tercero⁶","Cantidad de gas natural suministrado a: (1) clientes residenciales, (2) clientes comerciales, (3) clientes industriales y (4) transferido a un tercero⁶",Cuantitativo,Millones de unidades térmicas británicas (MMBtu),IF-GU-000.B
Compañías y distribuidores de gas,"El sector de compañías y distribuidores de gas se compone de empresas de distribución y comercialización de gas. La distribución de gas implica la utilización de tuberías locales de baja presión para transferir el gas natural de las tuberías de transmisión más grandes a los usuarios finales. Las empresas comercializadoras de gas son agentes que incorporan el gas natural en cantidades ajustadas a las necesidades de sus diferentes clientes y luego lo suministran, generalmente a través de las líneas de transmisión y distribución de otras empresas. Por su parte, la distribución de gas propano implica a una porción relativamente más pequeña de este sector, motivo por el cual esta norma se centra en la distribución de gas natural. Ambos tipos de gas suelen utilizarse para la calefacción y las cocinas de clientes residenciales, comerciales e industriales. En los mercados regulados de forma estructural, se concede a las empresas de suministros un monopolio total sobre la distribución y venta del gas natural. Una autoridad reguladora debe aprobar las tarifas que las empresas de suministros cobran para evitar que abusen de su posición de monopolio. En los mercados desregulados, la distribución y la comercialización están diferenciadas a nivel regulatorio y los clientes pueden elegir a qué empresa comprar el gas. En este caso, la empresa de suministros tiene garantizado el monopolio únicamente sobre la distribución, y está obligada por ley a difundir todo el gas de manera equitativa a lo largo de sus tuberías con una tarifa fija. En general, las empresas del sector deben encargarse de proporcionar gas seguro, fiable y de bajo coste y, a un mismo tiempo, gestionar eficazmente sus efectos sociales y ambientales, como la seguridad de la comunidad y las emisiones de metano. Less",Longitud de las tuberías (1) de transmisión y (2) de distribución de gas⁷,Longitud de las tuberías (1) de transmisión y (2) de distribución de gas⁷,Cuantitativo,Kilómetros (km),IF-GU-000.C
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Uso del suelo y efectos ecológicos,Número de (1) parcelas y (2) viviendas entregadas en zonas de reurbanización,Cuantitativo,Número,IF-HB-160a.1
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Uso del suelo y efectos ecológicos,Número de (1) parcelas y (2) viviendas entregadas en regiones con un nivel de estrés hídrico inicial alto o extremadamente alto,Cuantitativo,Número,IF-HB-160a.2
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Uso del suelo y efectos ecológicos,Importe total de las pérdidas monetarias como resultado de los procedimientos judiciales relacionados con las regulaciones ambientales²,Cuantitativo,Divisa para comunicar,IF-HB-160a.3
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Uso del suelo y efectos ecológicos,"Análisis del proceso para integrar las consideraciones ambientales en la selección del emplazamiento, el diseño, el desarrollo y la construcción de las instalaciones",Debate y análisis,n/a,IF-HB-160a.4
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Salud y seguridad de la fuerza laboral,(1) Tasa total de incidentes registrables (TRIR) y (2) tasa de mortalidad para a) empleados directos y b) empleados con contrato,Cuantitativo,Velocidad,IF-HB-320a.1
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Diseño para la eficiencia de los recursos,(1) Número de viviendas que obtuvieron una puntuación de certificación en el índice HERS® y (2) puntuación media,Cuantitativo,"Número, puntuación de índice",IF-HB-410a.1
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Diseño para la eficiencia de los recursos,Porcentaje de instalaciones de agua emplazadas certificadas según las especificaciones WaterSense®,Cuantitativo,Porcentaje (%),IF-HB-410a.2
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Diseño para la eficiencia de los recursos,Número de viviendas entregadas certificadas según un estándar de construcción ecológica de atributos múltiples de terceros,Cuantitativo,Número,IF-HB-410a.3
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Diseño para la eficiencia de los recursos,"Descripción de los riesgos y las oportunidades relacionados con la incorporación de la eficiencia de los recursos en el diseño de viviendas, y forma de comunicar los beneficios a los clientes",Debate y análisis,n/a,IF-HB-410a.4
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Efectos de las nuevas edificaciones en la comunidad,"Descripción de cómo afectan la proximidad y el acceso a las infraestructuras, los servicios y los centros económicos a la selección del emplazamiento y a las decisiones de edificación",Debate y análisis,n/a,IF-HB-410b.1
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Efectos de las nuevas edificaciones en la comunidad,Número de (1) parcelas y (2) viviendas entregadas en terrenos reurbanizables,Cuantitativo,Número,IF-HB-410b.2
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Efectos de las nuevas edificaciones en la comunidad,(1) Número de viviendas entregadas en urbanizaciones compactas y (2) densidad media,Cuantitativo,Número,IF-HB-410b.3
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Adaptación al cambio climático,Número de terrenos ubicados en zonas de inundación de 100 años,Cuantitativo,Número,IF-HB-420a.1
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Adaptación al cambio climático,"Descripción del análisis de la exposición al riesgo de cambio climático, grado de exposición sistemática de la cartera y estrategias para mitigar los riesgos",Debate y análisis,n/a,IF-HB-420a.2
Constructoras,"El sector de las constructoras se compone de empresas que desarrollan nuevas viviendas y comunidades residenciales. Los esfuerzos de desarrollo generalmente incluyen la adquisición y preparación de terrenos, la construcción de viviendas y la venta de las mismas. La mayor parte de la actividad del sector se centra en el desarrollo y la venta de viviendas unifamiliares, que suelen formar parte de comunidades residenciales diseñadas por las empresas. Un segmento más pequeño se centra en las casas adosadas, los bloques de viviendas, las viviendas multifamiliares y el desarrollo de urbanizaciones de uso mixto. Muchas empresas del sector ofrecen servicios de financiación a los compradores individuales. Se trata de un sector variado, ya que hay un gran número de promotores de todos los tamaños, con empresas con diversas estructuras y objetivos geográficos. Las empresas cotizadas tienden a ser considerablemente más grandes e integradas que las numerosas constructoras de propiedad privada. Less",Número de terrenos controlados³,Número de terrenos controlados³,Cuantitativo,Número,IF-HB-000.A
